,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
ASV_102,0.08737863753324716,0.16803384210296,-0.28498242227427434,0.14613682782300702,-0.31137075364627337,0.32474003520583716,0.0667640663054796,0.19288588065403353,-0.2928844790805705,-0.3633459041245382,0.21011954928704352,0.3260431111015138,-0.033215180828764804,0.22689418031199998,0.017552616481586927,-0.11971241679667981,-0.029043930391506965,-0.0013733547077222964,0.1925436260857523,-0.096062648299885,-0.23969564065732635,0.011592422963162822,0.27798243362563846
ASV_11,0.3546781058322653,0.05676916842405697,0.20646732073848953,-0.09324568948816744,-0.12851627392985626,0.099766448473647,0.09472118154439513,-0.060726839124350215,0.031715671887093615,0.14462944501038708,-0.006566538663069981,-0.008878088409998432,-0.17089588465190259,0.030462067570530087,-0.5135878962281717,-0.08393534693603207,0.10173533933975483,-0.3388383974529613,0.09240073739732317,0.014856922234052675,-0.2974073400121542,0.4088316599192079,-0.2607996079659429
ASV_12,-0.19664842227932566,-0.1819000712983624,-0.05615786051523325,0.09733605691706645,-0.21888815222212876,-0.3994855430605771,-0.14420695467131223,0.17890365980938422,-0.16092367765897794,0.3956323709302129,0.11568572940489492,-0.10196712737619579,-0.1897691492131747,0.4966789846505219,-0.0937144423830095,0.14677220779017233,0.04624611207018836,-0.05966571302850217,-0.043072397566100255,0.14071672027033966,-0.25812428003077836,-0.18718233225170083,0.08403366771476543
ASV_121,0.12964712671415113,-0.08111322177956558,-0.4284762893982489,0.36729976766518296,-0.2395330493370668,0.15456039753923725,-0.023705445279012263,-0.08334879289998878,-0.013526459689448182,-0.03459211477001638,-0.22961675517371857,-0.12786884861256229,0.1862205911212161,0.1331500317308301,0.01958319560624584,0.3330899628724495,0.2752725061911958,0.10966090366233285,-0.22630825178980934,0.036259752503997204,0.14134430215115384,0.18153250634304222,-0.3766709254369882
ASV_136,0.23023631763474794,0.20954117377302628,0.23644193988078882,-0.03232342042156555,-0.03120464116302614,-0.260954663459445,0.23995484795685976,0.10141996834969882,-0.41652742557076616,-0.1824439171568757,0.028839694261048945,0.01400068097618232,0.06382349299438236,-0.14766102613140855,-0.1882184343886946,0.29574374266340364,0.21515570003944146,0.18223120434606366,0.12649984352669583,0.4323322542957694,0.2089172235721917,-0.1608746707713793,0.026109576251773948
ASV_157,0.012599682728963465,0.15573190165410114,-0.2892780550582255,-0.33704407042889756,0.3826554086758465,0.0334820114914678,-0.33199680720972363,0.0647272419400201,-0.13230102505639255,-0.014061666975488909,-0.131855180099897,0.28833231511444474,-0.04330136503414781,0.20447104296852064,-0.44143493893130287,-0.03962009626652882,0.13406854850349095,0.03940769709909929,-0.21486651852353755,-0.13546805289386535,0.2058603304305358,-0.17058524270311012,-0.04985666749306778
ASV_189,0.12159539154010962,-0.45352157633133544,-0.056661144530078505,0.13393308806281323,0.07044440231059107,0.052791725938986386,-0.07105425194220141,-0.09995479970334131,-0.1105178552153139,-0.002199176342047408,-0.12346931474405987,0.05809260317724011,0.1321320699306952,0.010192411058496647,-0.13434029824127008,-0.5863047054297031,-0.08904592349900414,0.30388663593979637,0.013980552808227785,0.46346802442113855,-0.08239813795858397,-0.03411703391474202,-0.046536354237589436
ASV_190,0.29578373630754945,-0.2560190556049408,0.035259091478791096,-0.0748482002897564,-0.037581096111791445,-0.0018762774587501193,0.013064248060793916,0.06901287664867882,-0.3624883318835752,0.12809901211172128,0.11697944470739301,0.1800073017657793,-0.20519794270722033,-0.27561551362820086,0.1564008372753485,0.13987681675507205,-0.256913647036476,0.04898566450052043,-0.6044153099529144,-0.12599321605400113,-0.0597517463973707,0.13815536153018365,0.07434438411146392
ASV_209,-0.25160428747413244,-0.0726243411504259,0.14146450248778047,0.22810269867955058,0.22748653878212632,0.15897134770660318,0.3694487585432437,-0.14721976611287504,-0.08945254429275744,0.2159081826574529,-0.1702865761137522,0.2563979836945156,-0.02563473081795815,0.24071060997747468,-0.2253330379757257,0.26004146371879755,-0.33514640078592317,0.25472451266062984,0.1468642797306715,-0.09636398203952636,0.13526004749916679,0.24325081095557916,0.11095043919841463
ASV_21,0.27471694592990914,0.07147844326705008,0.17517656877700652,0.08548921927505687,0.07648828829133388,-0.2458194224343987,-0.05926189719527717,0.0023754142069635203,0.3252121018943809,-0.08202397502932288,-0.4752057167672414,0.40213031380132225,-0.037548074920230594,0.13798571525778525,0.238212615485073,0.07208636756127978,0.24090947942707558,0.10031202910525053,-0.08247900761101969,0.03434144686133996,-0.28405894602538573,0.07305223441642172,0.2590581033825888
ASV_223,-0.17373655020909962,-0.12051401395995598,-0.06405954495548255,-0.17141734831678573,-0.281201413470798,0.0969179974994078,0.3319192478712958,0.39226404364655626,0.0691328147399422,-0.07554852749875436,-0.48765124092242995,-0.19736432912436716,-0.40951665613376614,-0.10011862424251589,-0.11790970081336995,-0.16396477434587714,0.078878268691537,0.05406871992169996,-0.07841245345906986,-0.057408973855776785,0.1690116144099557,-0.0698855532370219,0.10723390735536498
ASV_240,0.21515977769553205,0.2504457577864114,-0.15088222357931672,-0.0027602718416768206,-0.16273214313956172,-0.00679389809160039,0.20177548125437209,-0.2669088078233736,0.23146665265244104,0.3336473211246576,0.2750396524146387,0.20141822951748783,-0.4197724787936333,0.02396884745450746,0.11962679983187358,-0.1743878169874186,0.09237345747106458,0.3345803307170378,0.043266335467384384,0.006758893681578716,0.1893042788387966,-0.1989361924925563,-0.17118338768565847
ASV_282,0.243612892276559,-0.3805182904121745,-0.005218920373041918,-0.030545139582293653,0.12840316112040784,-0.15359373576591737,-0.05944886215739942,-0.02222961854269625,-0.1559978052157576,-0.118029876425219,-0.007219016810801552,-0.1645403331777589,-0.11714766922337856,-0.05435868995406155,-0.016021796575211,0.09576241846820098,0.14941651768976105,0.3206753369239992,0.42700136753641893,-0.5522485168949695,-0.14663741478575687,-0.10211666460927649,-0.12205378725777576
ASV_32,-0.0748948181058779,0.06544931334025753,0.0407551854538832,0.457576575534264,0.4255565293843157,0.21183137966170823,0.169072735432737,0.024980093759815962,-0.26854789545521035,0.18733487165397292,-0.06568009659428685,-0.011912430066718167,-0.1788308370915156,-0.1505283858094342,0.11629440109787327,-0.1394879915209914,0.3683799719075519,-0.3073788151776995,-0.051056436823294714,-0.04245799648347425,-0.13907049208267794,-0.26349236241077045,-0.03516947643657251
ASV_353,0.18594147744761774,0.2454465995254124,-0.03702100868021283,-0.06925477849958075,-0.03319549898924657,-0.29881795013622114,0.36143450102493685,-0.23324696341660134,-0.2573010879154847,0.0038129993824055582,-0.20618135592847606,-0.22942094976512217,0.2988668532184783,0.3117032987545009,0.0974637464598631,-0.33870163593816993,-0.15788352126679966,-0.10741522350414585,-0.17257213146134162,-0.2833724518063302,0.028058244593348262,-0.06467876192077525,-0.0018535119105942822
ASV_47,0.30711013709035834,-0.05916135966525876,0.24091465588894262,-0.022796191181324577,-0.0753877307437715,0.247575944374651,-0.15012717518064,0.29167210261996973,-0.038043677434557846,0.14101633283486265,-0.21261768908527778,0.14767774293934727,0.04746317498852955,0.21986916982575047,0.24545770636950506,0.06663876855563143,-0.32195805601755956,-0.21918951577508602,0.22078302044124695,0.03326855094594015,0.22881644980690485,-0.31354895391031956,-0.33642174387373386
ASV_66,-0.12256626475945656,-0.01875830916167628,0.23165900506483286,-0.07091460924379042,-0.14640111113414025,0.19618738026967159,-0.23064968586314455,-0.6284992656459364,-0.1851770556627777,-0.32070801817391736,-0.17608473911565717,-0.12372823385536263,-0.37995959001152385,0.15589055396226262,0.03869865732880251,0.11208868554074627,-0.03915499720334504,-0.06564212067837205,-0.07434722021679277,0.09445558492760302,-0.02920541013404422,-0.173162347484203,0.021832513284478213
ASV_67,-0.044113227821276864,0.1342615258821382,-0.4499627414144477,-0.38485338260253976,0.15088502392467476,0.025459049103077495,0.06052410665710687,-0.0907326111888893,-0.2087116564350857,0.2120860632306677,-0.2615978364521252,-0.03785798119856948,-0.07044705170626041,-0.16061158606955334,0.27620317541822315,0.15398359899361866,-0.1398544533292479,-0.02197981002548043,0.2898160857646858,0.2701989232786778,-0.3261751160749653,0.12546527011236108,-0.07614841362340807
ASV_7,-0.21556315168357373,-0.2794754588435362,-0.014235735986228503,-0.22827067555565325,-0.08121168793524944,-0.013031620493956036,0.42052092733526264,-0.10498542432191893,0.14985518845542464,-0.17026345434961282,0.0814504507980234,0.35696509221952044,0.20961271483381075,-0.032126697334020314,-0.07565590293688912,0.1354589365399756,0.06006277668871574,-0.11918610706102806,-0.13699506370654432,-0.013678942874469082,-0.2903114787149897,-0.37858976417850815,-0.3310064472807452
ASV_81,-0.08153252919135852,0.08110434988968644,0.32366841176433514,-0.3190302562321968,-0.12078362439174195,0.45282150374562846,-0.032697187288913965,0.04635746931089313,-0.11800025148763628,0.31657096475834523,0.016943687787676277,-0.12528057925857364,0.306023013988041,0.11854631083194515,0.1071355150474431,-0.01371825338886498,0.3521467694125523,0.36030474848145594,-0.1137008702488909,-0.06551550891148131,-0.17250205790553536,0.0020608354252751116,0.08412824616720872
ASV_84,0.3203241814812645,-0.160134282279999,-0.20274617870112932,0.011783134642660351,-0.11332293587202569,0.17246143083732884,0.03847992717362694,-0.22592028811788328,0.1678705090294892,0.25578802649148485,-0.0676167815460045,-0.10373268989848693,0.1974173595305485,-0.1638371978240912,-0.25390347411325853,0.18941095431893742,-0.039194947185378304,-0.19377219357310968,0.07339462033799461,-0.008784934589054083,0.05363963760292378,-0.3454209746193328,0.5418098381857847
ASV_86,-0.24465987112726864,-0.10250030959727774,0.03490736118657857,-0.014533946796074932,-0.3728196407723425,-0.19414480425871067,-0.17201673548224036,-0.18436604993358177,-0.27169054067663884,0.22743647433675526,-0.15521614580048798,0.410478949075486,0.1335561363154932,-0.25901677610328533,0.04855811730712578,-0.1585819137656799,0.22785287871677312,-0.1969454283428472,0.2081629175768367,-0.16267025414084918,0.2738046677125399,0.1471493323937709,0.01603907752531716
ASV_87,0.1183188783035818,-0.38707048768156516,-0.0572957539155069,-0.2750402210650876,0.20669385662511763,0.05591265347665978,0.223992177285424,-0.04575217230584053,0.008335553849183218,-0.07712993458819828,0.21720282865882337,0.004117720061814378,-0.08061550301325057,0.3545159926810037,0.2699596798844705,0.006530472751526698,0.31433056098994294,-0.26120928532923593,0.06200535967263916,0.1362109811812164,0.3385316250781968,0.2610572264076832,0.1692109339641138
