,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
ASV_1,-0.29126454964092013,0.6188099573038288,-0.6634991120000354,-0.1589845151969606,-0.036033155324664994,-0.029748685597686692,0.04006883444966849,-0.011183198020896592,-0.021851869409587676,-0.0009653792241519286,-0.04854586213649215,0.09333607888025446,-0.04846015235624038,0.041938421635336356,-0.023183757703362482,0.024258475222915573,0.03379349144930783,0.04722009735178746,0.02373122114067798,0.03502934482459764,0.026292166785709694,-0.032810182777674175,-0.028800601487760154,-0.005624572570218704,-0.03505609904435276,0.02508288392164056,0.039681217673829434,0.017981933493003036,0.049429822768327795,-0.017988139645759592
ASV_10,0.040091162035853674,0.00869795116508956,-0.007382605300106485,0.08080043121527472,-0.07138741277264628,-0.09711635628540174,0.20099501379931706,-0.026075545002643384,-0.03681803212031075,0.07482526198734507,-0.3327003086727856,-0.0690268078333622,-0.07023202576679992,-0.21086809169730766,0.008955668443563653,-0.07284357390600169,-0.17108424342744555,-0.23756486351545647,0.03968647971559186,0.02607515615333239,-0.24354723073607876,-0.2842855565265469,0.0066228511063937635,0.19180215823331204,0.09665250573063228,0.04294206703476326,-0.013656825797240372,0.10526579812980923,0.11925357979914698,-0.1511130527622204
ASV_100,-0.008275609997259601,-0.005907819151369851,-0.0018498779961743162,-0.008131776624005774,0.009764140188630591,-0.011395221273406956,-0.009519562131100414,-0.04674209648963467,0.01488606448589667,-0.03946806494146413,0.0268002181402913,0.007045271937713427,0.04317911308518523,-0.029785431426740484,-0.02940410777537639,0.0295955232198471,0.09302083719567754,-0.05923811430642171,-0.034867541027137385,-0.030573342707464306,-0.05776514305885514,0.0902187025434096,0.06287909413409135,-0.025837457739381644,0.0032985692031863947,-0.01624911682368465,0.0945570822732194,-0.01278454436517461,-0.00697494610480685,0.14459402052251424
ASV_102,-0.008492356042860664,-0.0027054974788820497,-0.0005759801518829017,0.005185932965618073,0.025273929364484908,-0.012013743407288379,0.02789424830134465,-0.011227432847266948,-0.01102506953857234,0.054409716946061996,0.03141068795086321,0.030391189241704655,-0.025210997673972738,0.022109043140670137,-0.011523934079390013,-0.07638938919629908,-0.006929812637582796,0.05728991993831804,-0.05771534753144582,-0.1280272430977582,-0.09621875274496364,-0.0028275593133841067,-0.03910618395576278,0.04299480248342454,-0.017412646337574722,0.005275056991019769,-0.08775543598977462,-0.004500806202572036,-0.06463062283884377,0.49361607089022763
ASV_105,-0.0020335755227994766,0.00048352056411716653,0.004221368114564847,-0.009512882076017633,0.010452204814616341,0.006966168420970685,0.010999832581680847,-0.010691902210927653,0.008065920541005024,0.0008214599985943313,-0.018421017983824447,-0.0134734443601294,0.012373120709737333,0.008836006401649246,-0.011378573070926904,-0.011366409969292751,0.016160641393644627,-0.012710571786405103,-0.015476647978233143,0.008362205867401303,-0.021719833726783183,-0.0012665235785837958,0.0039815250110214005,-0.02949547760004548,0.004357302138970258,-0.03492570087838166,-0.005985678678913812,0.001810239414025652,0.003885482195454449,0.1469280096751525
ASV_106,0.0011108029292979296,0.0039500244986184025,0.00754228027669699,0.00511041627659074,0.011584031859067586,0.005822170647578959,0.0002139999097962172,-0.00471784680168788,-0.017321941284764667,0.008113356401960217,-0.012056656514174868,0.019203254927261198,0.05287314560465415,0.016911328541057574,-0.0044822024439686164,0.028582026404589372,-0.006567118243510644,0.026800126003848804,-0.04079517581995527,-0.005013254412309781,-0.04628100942148958,0.01159337865995999,0.02015741524577261,0.019000532451161758,-0.06261265255853621,-0.020134823722519443,-0.001881906643437863,0.04395865172444607,-0.013061725429671293,0.06853176111135433
ASV_108,-0.005813122891836401,-0.012734610394645414,0.01729458114135162,0.030318098182183686,0.10643700970393932,0.00903371018272898,0.06666814809976943,-0.06783946218191353,0.12896715010121776,0.030045557890088927,0.05422166017142456,0.1020253308755775,-0.0004695848517968304,-0.001426519443326525,0.039180633260791554,-0.02366237341422217,0.06464039136865125,-0.14484571606950916,0.2378784291756724,0.24485671339712656,0.1836358554980244,0.09533416717836767,0.22492101458868022,0.1896723698675881,-0.13053997352949787,-0.09471265641841756,0.05128880344561352,-0.07841254357145826,0.14004377267565302,0.05739802591503419
ASV_109,9.885262683090882e-06,0.005898642606295533,0.008924439719723088,0.025028114298419016,-0.012815772454682565,0.029391988554470356,-0.0001051647161305029,0.006231417785564836,-0.039010672734551145,0.03377224932105817,0.0140715662754716,-0.013550002051665616,0.048379973025060447,0.01739634981538679,0.025914086266967708,-0.0035937813522760723,0.011670962687345443,0.022536830448367177,0.022318769662348102,0.019396064694318458,-0.009169779820639266,-0.04343610853680962,0.019395884185152035,-0.018151081029766532,6.295205888343044e-05,0.019669280700618914,-0.007547792933282398,-0.03430429472589038,0.02004013847493786,0.2654379071332446
ASV_11,-0.019002836550719535,-0.07518153996468944,0.05256471374684585,-0.20474157414669447,0.13025993326621868,-0.08852756904702774,0.06520722865725745,-0.10507197925701107,-0.18663358874480546,-0.1164215386360064,-0.22428134726740817,0.004436483073756542,-0.04856104810560585,-0.07291104449420434,-0.08844009156870343,-0.1962546425630811,0.10404677765577014,0.1826054755650155,-0.06544305646709425,0.2475386460584658,0.11015249807514275,-0.1126699945310714,-0.2126003380260853,-0.011884529910258648,-0.1397168729043078,0.005544219151573613,-0.041474526031474515,0.07536883697519367,0.021923975471099113,-0.1284684478947619
ASV_116,0.0041464468094152196,0.011687563408647841,0.0053751363575211715,0.010709491722147418,-0.0032289478167940406,0.0374314528920252,-0.013559417365609434,0.004439931683744192,0.0006481425109339747,0.004671502606045757,-0.007594488700588475,-0.011267550391102494,0.044019175980020704,-0.007719737867753509,0.029310261989480536,0.005117947263008134,-0.017969689030244342,-0.009639121608521121,0.0532478053033293,0.0066349345012443025,-0.0021156911378674434,-0.04289470153278778,-0.038284713918745,-0.005012890813692807,0.02899957191830576,-0.0029177985305228484,-0.02175675037856792,-0.03541704119168814,0.054022791508741605,-0.1256930020615367
