,feature_no,feature_name,vNE,info_rich_feature,max_num_for_this_dataset
0,0,ASV_1,2.1298870724231387,Yes,12
1,1,ASV_2,2.266600478427103,Yes,12
2,2,ASV_3,2.409242902185439,Yes,12
3,3,ASV_4,2.208827594086914,No,12
4,4,ASV_5,2.2082539998997963,No,12
5,5,ASV_6,2.2081772726494733,No,12
6,6,ASV_7,2.2047120956392043,No,12
7,7,ASV_9,2.194121327266101,No,12
8,8,ASV_10,2.2080437956864603,No,12
9,9,ASV_11,2.195075858167348,No,12
10,10,ASV_12,2.2077907138820763,No,12
11,11,ASV_13,2.2046659315703976,No,12
12,12,ASV_15,2.2024339076154984,No,12
13,13,ASV_16,2.2034829368676547,No,12
14,14,ASV_18,2.202039673614839,No,12
15,15,ASV_19,2.179479088080093,Yes,12
16,16,ASV_20,2.19844415393357,No,12
17,17,ASV_21,2.1624438345490042,Yes,12
18,18,ASV_22,2.1693913069503195,Yes,12
19,19,ASV_23,2.1834489691943237,No,12
20,20,ASV_24,2.209202237410703,No,12
21,21,ASV_25,2.2035263158568466,No,12
22,22,ASV_27,2.1934397189741737,No,12
23,23,ASV_29,2.2070152256453106,No,12
24,24,ASV_30,2.2068471757900134,No,12
25,25,ASV_31,2.2078568947562567,No,12
26,26,ASV_32,2.207014641639218,No,12
27,27,ASV_34,2.208243487923147,No,12
28,28,ASV_35,2.205464304497452,No,12
29,29,ASV_37,2.203665579001978,No,12
30,30,ASV_38,2.209472855924273,No,12
31,31,ASV_39,2.2060037493277216,No,12
32,32,ASV_40,2.2054717482748893,No,12
33,33,ASV_42,2.201693136478114,No,12
34,34,ASV_44,2.2076410132619784,No,12
35,35,ASV_45,2.2092293156404375,No,12
36,36,ASV_47,2.202674674622792,No,12
37,37,ASV_48,2.208272437914917,No,12
38,38,ASV_49,2.2064595564359566,No,12
39,39,ASV_50,2.20917721750781,No,12
40,40,ASV_51,2.206650387749334,No,12
41,41,ASV_53,2.1917454496279616,No,12
42,42,ASV_54,2.2049284209151065,No,12
43,43,ASV_55,2.207156870181548,No,12
44,44,ASV_56,2.2093170813849006,No,12
45,45,ASV_57,2.202485495955416,No,12
46,46,ASV_58,2.208290974877728,No,12
47,47,ASV_60,2.2073365864471013,No,12
48,48,ASV_61,2.2094044108648823,No,12
49,49,ASV_62,2.2067499563939705,No,12
50,50,ASV_64,2.209261454144079,No,12
51,51,ASV_65,2.2093435383382296,No,12
52,52,ASV_67,2.2080380452233754,No,12
53,53,ASV_69,2.209246743050193,No,12
54,54,ASV_70,2.20920615490534,No,12
55,55,ASV_73,2.2094523083347286,No,12
56,56,ASV_74,2.2093658132501113,No,12
57,57,ASV_75,2.208861976685417,No,12
58,58,ASV_76,2.206351656250632,No,12
59,59,ASV_78,2.206891991158894,No,12
60,60,ASV_79,2.207824356917435,No,12
61,61,ASV_81,2.209337974574226,No,12
62,62,ASV_84,2.2075300583526256,No,12
63,63,ASV_87,2.2090617407299793,No,12
64,64,ASV_89,2.206947117332734,No,12
65,65,ASV_91,2.20854163583851,No,12
66,66,ASV_92,2.208057590006124,No,12
67,67,ASV_93,2.208348936742156,No,12
68,68,ASV_94,2.2071652676434343,No,12
69,69,ASV_96,2.2082200780748975,No,12
70,70,ASV_98,2.209471515531795,No,12
71,71,ASV_99,2.20943763924189,No,12
72,72,ASV_100,2.2087818175079827,No,12
73,73,ASV_102,2.2081593678129185,No,12
74,74,ASV_105,2.209486885803086,No,12
75,75,ASV_106,2.2093981624865515,No,12
76,76,ASV_108,2.196906989485626,No,12
77,77,ASV_109,2.2094234285010215,No,12
78,78,ASV_112,2.2090676171159505,No,12
79,79,ASV_117,2.2076883888111403,No,12
80,80,ASV_119,2.206512624028557,No,12
81,81,ASV_120,2.2019614021676404,No,12
82,82,ASV_121,2.2089082454765583,No,12
83,83,ASV_124,2.2067874861073915,No,12
84,84,ASV_126,2.160412777756086,Yes,12
85,85,ASV_127,2.205477740522313,No,12
86,86,ASV_130,2.2074342654839647,No,12
87,87,ASV_131,2.209227323102503,No,12
88,88,ASV_135,2.209396584193664,No,12
89,89,ASV_136,2.208958858297201,No,12
90,90,ASV_138,2.206963233068313,No,12
91,91,ASV_139,2.2077005068277407,No,12
92,92,ASV_141,2.209107483767332,No,12
93,93,ASV_142,2.2091773160726342,No,12
94,94,ASV_143,2.2090831832860434,No,12
95,95,ASV_146,2.207820687069942,No,12
96,96,ASV_147,2.2093550910552127,No,12
97,97,ASV_148,2.209467863459514,No,12
98,98,ASV_155,2.209359580136385,No,12
99,99,ASV_156,2.2093073191457036,No,12
100,100,ASV_157,2.208968785340581,No,12
101,101,ASV_158,2.209431694754533,No,12
102,102,ASV_160,2.20919841515464,No,12
103,103,ASV_161,2.2094008650331887,No,12
104,104,ASV_162,2.208676917637045,No,12
105,105,ASV_163,2.2094759804643602,No,12
106,106,ASV_165,2.2093967801671788,No,12
107,107,ASV_166,2.208257543154998,No,12
108,108,ASV_167,2.209127607111045,No,12
109,109,ASV_168,2.2049679442807113,No,12
110,110,ASV_169,2.2092370356950704,No,12
111,111,ASV_170,2.209473366909178,No,12
112,112,ASV_171,2.208306248453891,No,12
113,113,ASV_172,2.2091247237790848,No,12
114,114,ASV_174,2.209042149399348,No,12
115,115,ASV_177,2.209357294671422,No,12
116,116,ASV_180,2.2092218785614364,No,12
117,117,ASV_182,2.209027708134061,No,12
118,118,ASV_186,2.2089606248238334,No,12
119,119,ASV_187,2.2093121233680537,No,12
120,120,ASV_189,2.208499744320551,No,12
121,121,ASV_190,2.2089654748253644,No,12
122,122,ASV_192,2.209287229924212,No,12
123,123,ASV_193,2.208904321486417,No,12
124,124,ASV_196,2.2094506898808643,No,12
125,125,ASV_197,2.209002522866052,No,12
126,126,ASV_200,2.2090182129561473,No,12
127,127,ASV_204,2.2094381996459953,No,12
128,128,ASV_205,2.208996039734124,No,12
129,129,ASV_208,2.2094212026242346,No,12
130,130,ASV_210,2.2093851178610153,No,12
131,131,ASV_212,2.209420700044481,No,12
132,132,ASV_216,2.2078033985487826,No,12
133,133,ASV_217,2.2091837612053458,No,12
134,134,ASV_218,2.2092154583081896,No,12
135,135,ASV_220,2.208999904782175,No,12
136,136,ASV_222,2.2094578023326745,No,12
137,137,ASV_223,2.209396913361331,No,12
138,138,ASV_228,2.206913639876475,No,12
139,139,ASV_230,2.208134500545989,No,12
140,140,ASV_239,2.209284938339962,No,12
141,141,ASV_240,2.2092057038478994,No,12
142,142,ASV_241,2.2094548555426377,No,12
143,143,ASV_243,2.2093968971469677,No,12
144,144,ASV_245,2.20314669093094,No,12
145,145,ASV_246,2.1992490997294594,No,12
146,146,ASV_251,2.208879066431446,No,12
147,147,ASV_254,2.2094068822538735,No,12
148,148,ASV_256,2.2094638918070153,No,12
149,149,ASV_258,2.2094057138902463,No,12
150,150,ASV_261,2.209365819046621,No,12
151,151,ASV_264,2.209381794473478,No,12
152,152,ASV_267,2.2090854721871773,No,12
153,153,ASV_268,2.2093296237707007,No,12
154,154,ASV_269,2.2091916824843283,No,12
155,155,ASV_273,2.207642230824435,No,12
156,156,ASV_275,2.209302299885737,No,12
157,157,ASV_276,2.209408662016464,No,12
158,158,ASV_280,2.20810265339179,No,12
159,159,ASV_281,2.209480991180528,No,12
160,160,ASV_282,2.2093544027923553,No,12
161,161,ASV_287,2.2094176765923925,No,12
162,162,ASV_289,2.2094374583716907,No,12
163,163,ASV_290,2.207414880032135,No,12
164,164,ASV_292,2.2094388550421087,No,12
165,165,ASV_294,2.2094410675971146,No,12
166,166,ASV_295,2.2091801534002373,No,12
167,167,ASV_301,2.208572697999767,No,12
168,168,ASV_304,2.2094588269314404,No,12
169,169,ASV_307,2.2094367477890664,No,12
170,170,ASV_310,2.2094678344661096,No,12
171,171,ASV_313,2.2089659191585245,No,12
172,172,ASV_317,2.209383488917526,No,12
173,173,ASV_320,2.209230238870669,No,12
174,174,ASV_324,2.209419935390555,No,12
175,175,ASV_325,2.2093431768724052,No,12
176,176,ASV_327,2.209411130912159,No,12
177,177,ASV_328,2.209091314517587,No,12
178,178,ASV_333,2.20930065951589,No,12
179,179,ASV_343,2.209479811198952,No,12
180,180,ASV_345,2.2080143633229965,No,12
181,181,ASV_348,2.2090628724399366,No,12
182,182,ASV_352,2.2093996117969934,No,12
183,183,ASV_353,2.20931322530668,No,12
184,184,ASV_357,2.209353035619988,No,12
185,185,ASV_361,2.2094703606616637,No,12
186,186,ASV_367,2.2150860533288736,No,12
187,187,ASV_369,2.2094554158669033,No,12
188,188,ASV_372,2.20894572109775,No,12
189,189,ASV_374,2.20939817673529,No,12
190,190,ASV_377,2.2094554805523225,No,12
191,191,ASV_382,2.2087362066293,No,12
192,192,ASV_403,2.209457641153888,No,12
193,193,ASV_404,2.209474582192096,No,12
194,194,ASV_406,2.2094496664927123,No,12
195,195,ASV_407,2.2094729627408323,No,12
196,196,ASV_408,2.209449438092259,No,12
197,197,ASV_410,2.209477081369922,No,12
198,198,ASV_413,2.2089227589882383,No,12
199,199,ASV_414,2.209443393138921,No,12
200,200,ASV_417,2.2093755622569597,No,12
201,201,ASV_424,2.2094664926743888,No,12
202,202,ASV_427,2.2094746440692092,No,12
203,203,ASV_428,2.209478401897342,No,12
204,204,ASV_437,2.2093269271825537,No,12
205,205,ASV_440,2.209052980948029,No,12
206,206,ASV_445,2.2093317674680315,No,12
207,207,ASV_447,2.209404460732079,No,12
208,208,ASV_458,2.2093383185269055,No,12
209,209,ASV_459,2.209332317249969,No,12
210,210,ASV_462,2.2094389098461047,No,12
211,211,ASV_479,2.2094810116840553,No,12
212,212,ASV_481,2.2094715955590343,No,12
213,213,ASV_484,2.2094757086448986,No,12
214,214,ASV_492,2.2102232845802186,No,12
215,215,ASV_494,2.20906859996697,No,12
216,216,ASV_500,2.2094713064874854,No,12
217,217,ASV_509,2.208712679979291,No,12
218,218,ASV_521,2.2094420007784055,No,12
219,219,ASV_527,2.2094798933128406,No,12
220,220,ASV_529,2.2094543201062913,No,12
221,221,ASV_543,2.2094382742960894,No,12
222,222,ASV_548,2.2094531600775866,No,12
223,223,ASV_557,2.2094666646880414,No,12
224,224,ASV_565,2.2094778585382806,No,12
225,225,ASV_567,2.209333406797077,No,12
226,226,ASV_568,2.2094798224497523,No,12
227,227,ASV_571,2.209430024442647,No,12
228,228,ASV_576,2.209443566793193,No,12
229,229,ASV_581,2.209451397148506,No,12
230,230,ASV_582,2.2094806281295036,No,12
231,231,ASV_587,2.2083826273888634,No,12
232,232,ASV_588,2.2094700023349607,No,12
233,233,ASV_595,2.20940426484313,No,12
234,234,ASV_599,2.2094544535444283,No,12
