,feature_no,feature_name,vNE,info_rich_feature,max_num_for_this_dataset
0,0,ASV_1,2.0737491271109287,Yes,12
1,1,ASV_2,2.258459599951632,Yes,12
2,2,ASV_3,2.4107164621393116,Yes,12
3,3,ASV_4,2.1927881189859173,No,12
4,4,ASV_5,2.1919798989648416,No,12
5,5,ASV_6,2.1918263417510464,No,12
6,6,ASV_7,2.188644039762227,No,12
7,7,ASV_9,2.1751147201674743,No,12
8,8,ASV_10,2.1895029056150292,No,12
9,9,ASV_11,2.1716785493897053,No,12
10,10,ASV_12,2.1916850195744795,No,12
11,11,ASV_13,2.1912241922288755,No,12
12,12,ASV_15,2.1830509899128923,No,12
13,13,ASV_16,2.1836031105885327,No,12
14,14,ASV_18,2.176650958211166,No,12
15,15,ASV_19,2.1628997510835046,No,12
16,16,ASV_20,2.185134816668066,No,12
17,17,ASV_21,2.1529506009802946,Yes,12
18,18,ASV_22,2.1645412825913812,No,12
19,19,ASV_23,2.1593325272710344,Yes,12
20,20,ASV_24,2.193054891479873,No,12
21,21,ASV_25,2.186084158223355,No,12
22,22,ASV_27,2.174945489955026,No,12
23,23,ASV_29,2.1909801796481974,No,12
24,24,ASV_30,2.190370607189434,No,12
25,25,ASV_31,2.191817646472104,No,12
26,26,ASV_32,2.1905277381356894,No,12
27,27,ASV_34,2.1922189707495847,No,12
28,28,ASV_35,2.1891933209919885,No,12
29,29,ASV_37,2.1856002567737196,No,12
30,30,ASV_38,2.1934365753726612,No,12
31,31,ASV_39,2.190044125650346,No,12
32,32,ASV_40,2.188961787844771,No,12
33,33,ASV_42,2.185315917170238,No,12
34,34,ASV_44,2.1915708844145296,No,12
35,35,ASV_45,2.1930727856636882,No,12
36,36,ASV_47,2.187031846425225,No,12
37,37,ASV_48,2.192187609776569,No,12
38,38,ASV_49,2.1900305465762533,No,12
39,39,ASV_50,2.19316379685304,No,12
40,40,ASV_51,2.190550643283342,No,12
41,41,ASV_53,2.1765916520686073,No,12
42,42,ASV_54,2.188134607615333,No,12
43,43,ASV_55,2.1905722908997456,No,12
44,44,ASV_56,2.193276988244463,No,12
45,45,ASV_57,2.1862629141428993,No,12
46,46,ASV_58,2.192185575011786,No,12
47,47,ASV_60,2.191592987653321,No,12
48,48,ASV_61,2.1933266268199367,No,12
49,49,ASV_62,2.190819772601946,No,12
50,50,ASV_64,2.1931495871942386,No,12
51,51,ASV_65,2.193293927437528,No,12
52,52,ASV_67,2.1916559348793148,No,12
53,53,ASV_69,2.1932244552296454,No,12
54,54,ASV_70,2.193132599238996,No,12
55,55,ASV_73,2.1934015831724487,No,12
56,56,ASV_74,2.1933215474928214,No,12
57,57,ASV_75,2.1928112672160043,No,12
58,58,ASV_76,2.189851184584591,No,12
59,59,ASV_78,2.2429198055368875,Yes,12
60,60,ASV_79,2.191610058012196,No,12
61,61,ASV_81,2.1931259225115007,No,12
62,62,ASV_84,2.1917603482906296,No,12
63,63,ASV_87,2.1932865223268787,No,12
64,64,ASV_89,2.1908199346249844,No,12
65,65,ASV_91,2.1924785057294405,No,12
66,66,ASV_92,2.192155362719007,No,12
67,67,ASV_93,2.19226940608296,No,12
68,68,ASV_94,2.192371022340291,No,12
69,69,ASV_96,2.1924480165357254,No,12
70,70,ASV_98,2.1934341099267316,No,12
71,71,ASV_99,2.1933996058772207,No,12
72,72,ASV_100,2.1926911591162135,No,12
73,73,ASV_102,2.1918239515884625,No,12
74,74,ASV_105,2.1934425673493374,No,12
75,75,ASV_106,2.193341606514911,No,12
76,76,ASV_108,2.1808652202192254,No,12
77,77,ASV_109,2.193378059331998,No,12
78,78,ASV_112,2.1929773819588747,No,12
79,79,ASV_117,2.191522186631696,No,12
80,80,ASV_119,2.1902159444023237,No,12
81,81,ASV_120,2.1853648713630234,No,12
82,82,ASV_121,2.192854489103941,No,12
83,83,ASV_124,2.190715348304309,No,12
84,84,ASV_126,2.143782281645563,Yes,12
85,85,ASV_127,2.191221904335381,No,12
86,86,ASV_130,2.191358481089163,No,12
87,87,ASV_131,2.193198684608032,No,12
88,88,ASV_135,2.193341145361049,No,12
89,89,ASV_136,2.1917617914153644,No,12
90,90,ASV_138,2.1908938777769342,No,12
91,91,ASV_139,2.1913799184108513,No,12
92,92,ASV_141,2.1930439190216724,No,12
93,93,ASV_142,2.1931557118111287,No,12
94,94,ASV_143,2.19296892960907,No,12
95,95,ASV_146,2.191758478245754,No,12
96,96,ASV_147,2.1933116309130347,No,12
97,97,ASV_148,2.1934313562725722,No,12
98,98,ASV_155,2.1933201792961223,No,12
99,99,ASV_156,2.1932425983642623,No,12
100,100,ASV_157,2.1928184459103943,No,12
101,101,ASV_158,2.1933874284564,No,12
102,102,ASV_160,2.1931393527019667,No,12
103,103,ASV_161,2.193354030547357,No,12
104,104,ASV_162,2.1926816736274968,No,12
105,105,ASV_163,2.1934397826618515,No,12
106,106,ASV_165,2.1933566822664146,No,12
107,107,ASV_166,2.1925882079450947,No,12
108,108,ASV_167,2.1930848732551493,No,12
109,109,ASV_168,2.188957291008549,No,12
110,110,ASV_169,2.1931727281902367,No,12
111,111,ASV_170,2.193437182203845,No,12
112,112,ASV_171,2.192183082088921,No,12
113,113,ASV_172,2.1931533112978743,No,12
114,114,ASV_174,2.1929967778519877,No,12
115,115,ASV_177,2.193317160202108,No,12
116,116,ASV_180,2.1931885093553913,No,12
117,117,ASV_182,2.1929561332445853,No,12
118,118,ASV_186,2.1929078854599893,No,12
119,119,ASV_187,2.1932789601510407,No,12
120,120,ASV_189,2.1925140407326262,No,12
121,121,ASV_190,2.1925003013666964,No,12
122,122,ASV_192,2.1932187083579695,No,12
123,123,ASV_193,2.1932583077208636,No,12
124,124,ASV_196,2.193413331322816,No,12
125,125,ASV_197,2.1930007086571948,No,12
126,126,ASV_200,2.1929110102034253,No,12
127,127,ASV_204,2.1934049319321964,No,12
128,128,ASV_205,2.1929426583624987,No,12
129,129,ASV_208,2.1933854312181076,No,12
130,130,ASV_210,2.193360147535616,No,12
131,131,ASV_212,2.1933862360725045,No,12
132,132,ASV_216,2.191739006784422,No,12
133,133,ASV_217,2.1931262442117627,No,12
134,134,ASV_218,2.1931746721247567,No,12
135,135,ASV_220,2.1929418825608034,No,12
136,136,ASV_222,2.193422409004049,No,12
137,137,ASV_223,2.193360523817377,No,12
138,138,ASV_228,2.1905728262863304,No,12
139,139,ASV_230,2.191934929241227,No,12
140,140,ASV_239,2.193248810833875,No,12
141,141,ASV_240,2.193160525663116,No,12
142,142,ASV_241,2.1934197343924406,No,12
143,143,ASV_243,2.193328430673099,No,12
144,144,ASV_245,2.1875892943993054,No,12
145,145,ASV_246,2.1826250295101604,No,12
146,146,ASV_251,2.1927975144451315,No,12
147,147,ASV_254,2.193368738982486,No,12
148,148,ASV_256,2.1934243921531276,No,12
149,149,ASV_258,2.193367847988373,No,12
150,150,ASV_261,2.193349915266915,No,12
151,151,ASV_264,2.193341206762315,No,12
152,152,ASV_267,2.193045847977757,No,12
153,153,ASV_268,2.193293098180557,No,12
154,154,ASV_269,2.1931720380091497,No,12
155,155,ASV_273,2.191274797541938,No,12
156,156,ASV_275,2.1932620671856062,No,12
157,157,ASV_276,2.193371955278214,No,12
158,158,ASV_280,2.191980298408559,No,12
159,159,ASV_281,2.1934447425945356,No,12
160,160,ASV_282,2.193298379249209,No,12
161,161,ASV_287,2.193380401302282,No,12
162,162,ASV_289,2.193349164721761,No,12
163,163,ASV_290,2.1912308691295914,No,12
164,164,ASV_292,2.193401563929046,No,12
165,165,ASV_294,2.19340385300635,No,12
166,166,ASV_295,2.1931413100374244,No,12
167,167,ASV_301,2.192551326765566,No,12
168,168,ASV_304,2.193420642003842,No,12
169,169,ASV_307,2.1933987610341807,No,12
170,170,ASV_310,2.1934308183025397,No,12
171,171,ASV_313,2.192726420721527,No,12
172,172,ASV_317,2.1933434501357514,No,12
173,173,ASV_320,2.19320313697035,No,12
174,174,ASV_324,2.193376674952127,No,12
175,175,ASV_325,2.193298679971508,No,12
176,176,ASV_327,2.19337081287375,No,12
177,177,ASV_328,2.1930807697718815,No,12
178,178,ASV_333,2.193224147617028,No,12
179,179,ASV_343,2.193443345623076,No,12
180,180,ASV_345,2.190354757241468,No,12
181,181,ASV_348,2.1930043617699724,No,12
182,182,ASV_352,2.193356148651101,No,12
183,183,ASV_353,2.1932739158424526,No,12
184,184,ASV_357,2.1933092508467125,No,12
185,185,ASV_361,2.1934305982240923,No,12
186,186,ASV_367,2.2040755500766864,No,12
187,187,ASV_369,2.1934087599431122,No,12
188,188,ASV_372,2.192780332937189,No,12
189,189,ASV_374,2.193358580568834,No,12
190,190,ASV_377,2.193414215409634,No,12
191,191,ASV_382,2.192753441650004,No,12
192,192,ASV_403,2.1934191139205046,No,12
193,193,ASV_404,2.1934380167963448,No,12
194,194,ASV_406,2.193412307958929,No,12
195,195,ASV_407,2.193436934381545,No,12
196,196,ASV_408,2.193413886602994,No,12
197,197,ASV_410,2.193440647793215,No,12
198,198,ASV_413,2.192870570124477,No,12
199,199,ASV_414,2.1933975421701652,No,12
200,200,ASV_417,2.193253499938505,No,12
201,201,ASV_424,2.1934314793638476,No,12
202,202,ASV_427,2.193342420593021,No,12
203,203,ASV_428,2.193441557164708,No,12
204,204,ASV_437,2.193298575885989,No,12
205,205,ASV_440,2.193009781091723,No,12
206,206,ASV_445,2.1932945223185847,No,12
207,207,ASV_447,2.193364201610202,No,12
208,208,ASV_458,2.193346865836794,No,12
