,group_A.csv,group_B.csv
ASV_1,100.0,94.12
ASV_10,0.0,11.76
ASV_15,0.0,100.0
ASV_19,84.62,0.0
ASV_2,100.0,100.0
ASV_21,84.62,0.0
ASV_22,84.62,0.0
ASV_23,53.85,0.0
ASV_3,100.0,64.71
ASV_32,0.0,94.12
ASV_35,0.0,70.59
ASV_4,0.0,100.0
ASV_63,0.0,82.35
ASV_66,0.0,11.76
ASV_7,0.0,94.12
ASV_78,23.08,0.0
ASV_9,0.0,64.71
