,PC1,PC2,PC3,PC4,PC5,PC6,PC7
ASV_1,-0.3004349751095964,0.8665795414233645,-0.3941671942030727,-0.009545454442524958,0.05299001613828533,-0.0011512018930129226,0.02259567115172216
ASV_15,-0.055319205400918114,0.04645096397661309,0.06530861932918043,0.693823291043719,-0.17139875996989226,0.15664345482958814,-0.674693568700538
ASV_2,0.9108327634397273,0.3636260177022652,0.11346520187041012,0.07279146937583517,0.0766336589021761,-0.11831600995627538,-0.010744782764124898
ASV_3,0.24902321015897874,-0.31998144600779194,-0.8984767436005604,0.11089635205737142,-0.02417592351839417,0.12281974139322523,0.019279293771139256
ASV_32,-0.05499702642185591,-0.04575347076003611,0.06092707896164347,0.3541857324625855,0.8693919306018651,0.25635831683043786,0.2101437350090027
ASV_4,-0.059295473864326695,0.006752019188349596,0.03955129660243097,0.6120961963040892,-0.32729641344070537,-0.29258160966542157,0.6538237207823372
ASV_7,0.09224479907037436,0.10065401106344814,0.12229383637412539,-0.028499817213983102,-0.31367508519000503,0.8916583150416061,0.26859827857449314
