,group_A.csv,group_B.csv
ASV_1,100.0,64.71
ASV_15,0.0,94.12
ASV_2,92.31,100.0
ASV_3,92.31,0.0
ASV_32,0.0,94.12
ASV_4,0.0,82.35
ASV_7,0.0,76.47
